问题描述,是否解决,（表内关联）关联其他问题,原因及解决方法,解决时间,是否需要定制修改,任务编号,创建人,同步属性,创建时间,平台报警提示,设备相关配置文件,位置：服务器ip+车间名称,编辑时间,日记,数据库相关表,所在服务器,同步（关联用）同步设备编号 1,相关项目,备注,项目类型,服务器相关模块,对现场影响,同步关联问题 1,子任务编号,任务ID,同步（关联用）同步设备编号,同步关联问题 1,货架号,记录详细过程（案例）,归属,同步关联问题,问题时间,设备配置文件,设备序列号,设备IP,位置,设备编号,附件
库位状态变更信息丢失问题（导出bug）,已查明原因（不同版本需注意）,,在库位状态配置页面，如果此时该页面内容为筛选出的点位，则在使用导出功能时，将丢失库位状态变更的信息。 如果没有注意，再使用增量导入将会导致变更信息丢失。 服务器版本 4.2 之前 2.1 的库位状态变更信息丢失原因应该也是这个。,2025/1/16,,,汪羽杰,,2025/1/16 15:47,,,2.31_28_29_31_A2存储备料区域,2025/2/19 16:14,,,10.68.2.31,,,,问题记录,,,,,,,,,YES,平台,,2025/1/16,,,,829_31_A2存储备料区域,,
跨环境容量问题2.31,已解决,,,2025/1/16,,,汪羽杰,,2025/1/16 17:30,,,2.31_28_29_31_A2存储备料区域,2025/1/16 17:35,,,10.68.2.31,,,,问题记录,,,,,,,,,,平台,,2025/1/16,,,,829_31_A2存储备料区域,,
1.货架旋转没生效2.要下发多次,已过期,,数据库表 shelf_angel_config 中的 area_,2025/1/20,,,汪羽杰,,2025/1/20 9:22,,,2.1_11_A2电料仓,2025/6/19 19:06,,,10.68.2.1,,,,问题记录,,,,,,,,,,,,2025/1/20,,,,A2电料仓,,
27无法回库,已解决,,,2025/2/5,,,汪羽杰,,2025/2/5 11:58,,,2.27_1_行业备料部,2025/2/5 12:00,,,10.68.2.27,,,,问题记录,,,,,,,,,,,,2025/2/5,,,,行业备料部,,
一个货架任务重复下发,已解决,,任务失败的情况下j,2025/2/7,,,汪羽杰,,2025/2/7 16:54,,,,2025/2/11 10:16,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/2/7,,,,,,
提升机任务pad下发提示点位集合数量有误,已解决,,是否支持第三方下发为打开。提升机定制逻辑为定制模块下发指定点和pad下发指定点合并。,2025/2/8,,,汪羽杰,,2025/2/8 15:07,,,,2025/2/8 15:13,,,10.68.,,,,问题记录,,,,,,,,,YES,,,2025/2/8,,,,,,
库位变更配置没了,已解决,,重新添加,2025/2/10,,,汪羽杰,,2025/2/10 8:40,,,,2025/2/20 17:06,,,10.68.,,,,问题记录,,,,,,,,,,平台,,2025/2/10,,,,,,
2.41CPU占用忽高忽低,已解决未查明,,,2025/2/10,,,汪羽杰,,2025/2/10 11:03,,,,2025/2/20 18:43,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/2/10,,,,,,
货架已被绑定，但是任务已经取消,已解决,,昨天晚上任务没继续执行是后续任务没触发。今天解除预占绑定货架是因为freeagv参数不对，解决办法：等这个车现在任务结束，再对车点一下解除预占,2025/2/11,,,汪羽杰,,2025/2/11 9:17,,,2.32_1_A3结构备料部@举升,2025/2/11 10:16,,,10.68.2.32,,,,问题记录,,单个设备级（轻微影响）,,,,,,,YES,"平台,rtps,跨环境",,2025/2/11,,,,A3结构备料部@举升,,
路径异常,已解决,,该车宽度较大，无法从货架窄边进入，地图该点位没有从宽边进入的路线，导致规划失败。,2025/2/11,,,汪羽杰,,2025/2/11 14:21,前序连通性无法满足社会通行要求（8037）,,2.27_2_半成品备料部,2025/2/11 15:22,,,10.68.2.27,,,,问题记录,,调试级（轻微或无）,,,,,,,YES,算法,,2025/2/11,,,,半成品备料部,,
下发回库车没有转弯,已处理,,wms未下发继续任务,2025/2/12,,,汪羽杰,,2025/2/11 16:29,,,2.27_1_行业备料部,2025/2/17 10:55,,,10.68.2.27,,,,问题记录,,,,,,,,,,平台,,2025/2/12,,,,行业备料部,,
终点角度不可达,已解决,,设备最大旋转角度限制，平台上修改设备参数,2025/2/11,,,汪羽杰,,2025/2/11 16:29,算法未规划路径,,2.31_2_富阳电装工厂,2025/2/17 10:58,,,10.68.2.31,,,,问题记录,,,,,,,,,YES,平台,,2025/2/11,,,,富阳电装工厂,,
下发转向没有转,解决中,,货架旋转配置问题，临时任务没有添加，可能包含多个问题，其他未旋转还在查。,2025/2/28,,,汪羽杰,,2025/2/12 10:52,,,2.1_11_A2电料仓,2025/2/28 16:37,,https://flowus.cn/0f10584e-76e0-4660-88b1-793cb8894c6d,10.68.2.1,,,,问题记录,https://flowus.cn/9a3aaf29-9517-4bc9-8976-cf9465e2f5e6,堵车级（中等影响）,,,,,,,YES,WMS,,2025/2/12,,,,A2电料仓,,
设备脱轨B120,已解决,,81116256贴歪且有气泡,2025/2/14,,,汪羽杰,,2025/2/14 10:11,,,2.27_1_行业备料部,2025/2/17 10:50,,,10.68.2.27,,,,问题记录,,,,,,,,,,实施,,2025/2/14,,,,行业备料部,,
容量已满选点问题,已解决,,跨环境任务容量也上层系统选点配置数量未统一，修改恢复,2025/2/14,,,汪羽杰,,2025/2/14 13:47,,,,2025/2/20 16:38,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/2/14,,,,,,
rcs容量不足,已解决,,问题现象 设备报容量不足，但是10000329为空库位 排查过程 算法规划库 rtpsa 显示该点位为占用状态，即空库位状态未上报 现象排查，任务下发三个点位，当另外两个点位为满时，设备选点为最近点而非空库位，下发一个满库位的回库任务后可以正常执行 rtps 排查原因为：没有受到更新容量的请求 恢复 手动点击编辑完成后系统重新上报更新请求，容量正常。 起始原因 该点位为新增点，库位状态添加时为 excel 表格导入，可能该导入方式存在问题，导致未更新容量。,2025/2/17,,,汪羽杰,,2025/2/17 8:34,RCS点位XXXXXXX容量不足,,2.31_28_29_31_A2存储备料区域,2025/2/21 10:45,,,10.68.2.31,,,,问题记录,,堵车级（中等影响）,,,,,,,YES,"平台,算法",,2025/2/17,,,,829_31_A2存储备料区域,,
设备不动,已解决,,电量过低，无法执行任务,2025/2/17,,,汪羽杰,,2025/2/17 9:01,设备状态空闲下发任务超时,,2.31_2_富阳电装工厂,2025/2/17 9:03,,,10.68.2.31,,,,问题记录,,单个设备级（轻微影响）,,,,,,,YES,"AGV  设备,平台",,2025/2/17,,,,富阳电装工厂,,
货架旋转任务失败,已解决,,这个货架上一个任务的执行车是0123，wns下发的货架旋转任务的设备发了0173导致任务失败,2025/2/17,,,汪羽杰,,2025/2/17 9:15,车已经预占但是发的任务是第一个子任务(7028),,2.10_1_PCBA 半成品仓库,2025/2/17 9:33,,,10.68.2.10,,,,问题记录,,调试级（轻微或无）,,,,,,,YES,WMS,,2025/2/17,,,,PCBA 半成品仓库,,
设备脱轨,已解决,,,2025/2/17,,,汪羽杰,,2025/2/17 10:32,,,2.27_1_行业备料部,2025/2/18 15:30,,,10.68.2.27,,,,问题记录,,,,,,,,,,,,2025/2/17,,,,行业备料部,,
货架旋转任务不旋转,已解决,,数据库修改角度,2025/2/17,,,汪羽杰,,2025/2/17 14:25,,,2.10_1_PCBA 半成品仓库,2025/2/18 15:31,,,10.68.2.10,,,,问题记录,,,,,,,,,,平台,,2025/2/17,,,,PCBA 半成品仓库,,
路径不可达,已解决,,线属性未修改为二维码导航,2025/2/17,,,汪羽杰,,2025/2/17 16:42,,,2.10_1_PCBA 半成品仓库,2025/2/21 10:49,,,10.68.2.10,,,,问题记录,,,,,,,,,,,,2025/2/17,,,,PCBA 半成品仓库,,
设备脱轨,已解决,,,2025/2/18,,,汪羽杰,,2025/2/18 13:41,,,2.27_1_行业备料部,2025/2/19 16:20,,,10.68.2.27,,,,问题记录,,,,,,,,,,,,2025/2/18,,,,行业备料部,,
2.3服务器wca失效,已解决,,服务器排查wca模块正常运行，老版本模块日志不会打印连接信息，呼叫器网关 png 不通，网口维修,2025/2/18,,,汪羽杰,,2025/2/18 14:04,,,2.3_1_PCBA_1,2025/2/19 16:22,,,10.68.2.3,,,,问题记录,https://flowus.cn/d69fd2b2-b572-4bca-94f1-d077a2819bc6,,,,,,,,,呼叫器,,2025/2/18,,,,PCBA1,,
2.1服务器数据库服务被杀,已解决,,CPU长期超负荷，内存不足导致mysql服务被杀，重新启动所有服务后恢复。暂时处理办法：暂停使用目前空置区域。只能关闭678区域，其他三个区域正在使用，需要升级服务器配置。,2025/2/18,NO,,汪羽杰,,2025/2/18 14:58,,,2.1_4_A4物流_2F,2025/2/21 10:50,,,10.68.2.1,,,,问题记录,,停产级（重大影响）,,,,,,,YES,"服务器,平台",,2025/2/18,,,,A4物流2F,,
长按设备确认按钮没有取消任务,已查明原因（不同版本需注意）,,原因：平台这边确认，无法取消的原因是设备处于预占状态，预占状态下设备没有 orderid，长按按钮取消任务时上报的 orderid 为 null，所以无法取消。基线版本无该功能。 解决方法： 客户端使用解除设备预占来取消任务 定制 上层系统调用取消任务接口 华睿定制提供支持长按按钮取消任务 后续该功能会整理进基线（4.5以后）,2025/2/19,NO,,汪羽杰,,2025/2/19 14:49,无任务处于预占状态,,2.19_1_2_3_4_A2_A3_华消_注塑工厂_二楼_华昱欣,2025/2/19 16:19,,,10.68.2.19,,,,问题记录,https://flowus.cn/b6841c24-3835-4466-b7e8-15e19a2219f8,单个设备级（轻微影响）,,,,,,,YES,平台,,2025/2/19,,,,2_3_4_A2_A3_华消_注塑工厂_二楼_华昱欣,,
设备遇障,已解决,,,2025/2/20,,,汪羽杰,,2025/2/20 8:48,,,2.27_1_行业备料部,2025/2/20 9:22,,,10.68.2.27,,,,问题记录,,,,,,,,,,遇障,,2025/2/20,,,,行业备料部,,
2.17自动调车模块一直调空车,已解决,,,2025/2/20,,,汪羽杰,,2025/2/20 9:22,,,,2025/2/21 11:18,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/2/20,,,,,,
跨环境锁格未释放,已解决,,,2025/2/21,,,汪羽杰,,2025/2/21 8:37,,,,2025/2/21 11:18,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/2/21,,,,,,
导入地图时显示有点位消失,已解决,,当时修改片区域时随便新建的 170 片区域用来放置多余的点，新建时建在了29区域，然后无用点位在数据库中改到这个片区域导致,2025/2/21,,,汪羽杰,,2025/2/21 10:00,,,2.31_28_29_31_A2存储备料区域,2025/2/21 10:46,,"https://flowus.cn/2cca9480-b200-45bd-922a-94c3abde7faa,https://flowus.cn/2803ef5c-690b-49f3-91d9-cbe02a8fec4e",10.68.2.31,,,,问题记录,,调试级（轻微或无）,,,,,,,YES,"数据库,平台",,2025/2/21,,,,829_31_A2存储备料区域,,
跨环境点车不动,已解决,,禁行区导致设备不动。 要经过电梯然后路径不可达，设备会报警无法跨区域。 设备实际上没有预占，解除预占会直接把跨环境任务取消。,2025/2/24,,,汪羽杰,,2025/2/24 9:28,,,2.19_1_2_3_4_A2_A3_华消_注塑工厂_二楼_华昱欣,2025/2/24 15:48,,,10.68.2.19,,,,问题记录,,调试级（轻微或无）,,,,,,,YES,"电梯,平台",,2025/2/24,,,,2_3_4_A2_A3_华消_注塑工厂_二楼_华昱欣,,
电梯不开门,解决中,,下发了开门但是没有开门，可能为控制开门的线掉了。,2025/2/24,,,汪羽杰,,2025/2/24 9:33,,,2.31_24_25_26_27_电装跨电梯,2025/3/4 20:25,,,10.68.2.31,,,,问题记录,https://flowus.cn/83e37872-0328-4dab-8092-0f0033513a1e,,,,,,,,YES,电梯,,2025/2/24,,,,425_26_27_电装跨电梯,,
rcs 选点容量管控问题,已解决,,空车移动使用 rcs 可能存在一定问题，建议空车移动使用 ics 选点，负载移动可以使用 rcs 选点。,2025/2/24,,,汪羽杰,,2025/2/24 15:03,,,2.14_6_闸机车间,2025/2/24 17:13,,,10.68.2.14,,,,问题记录,,,,,,,,,,,,2025/2/24,,,,闸机车间,,
跨环境到目标点后任务执行中不动,已解决,,设备端未知原因任务被取消，平台任务没有取消,2025/2/25,,,汪羽杰,https://flowus.cn/0a1f0bf9-51a7-4fb0-9e7c-dade5be37fa9,2025/2/25 9:34,,,2.32_3_A3结构备料部@连廊,2025/3/1 13:46,,,10.68.2.32,,,,问题记录,,单个设备级（轻微影响）,,,,,,,,"AGV  设备,平台",,2025/2/25,,,,A3结构备料部@连廊,,
路径不可达（跨环境预占失败导致）,解决中,,B108设备在执行空车跨环境时，第二个任务预占失败，导致回到27服务器时状态为空闲，直接接了上料任务，同时留下一个第三段任务，当设备在上料点进入预占时接了该第三段任务，算法根据这个任务无法规划出路线，因此报警提示路径不可达。后经过排查，原因为算法库崩溃，升级算法库解决,2025/2/26,,,汪羽杰,,2025/2/25 15:27,路径异常：路径不可达，以下连通性无法满足设备通行要求,,2.27_1_行业备料部,2025/2/26 17:08,,,10.68.2.27,,,,问题记录,,单个设备级（轻微影响）,,,,,,,Yes,跨环境,,2025/2/25,,,,行业备料部,,
没有上报状态,已处理,,,2025/2/25,,,汪羽杰,,2025/2/25 15:40,,,,2025/2/26 17:10,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/2/25,,,,,,
货架模型中找不到货架码参数,已解决,,任务模板中只有rcs选点，没有货架模型下发，改成ics选点，多模型举升货架,2025/2/25,,,汪羽杰,,2025/2/25 15:58,,,2.14_6_闸机车间,2025/2/25 16:23,,,10.68.2.14,,,,问题记录,,,,,,,,,,平台,,2025/2/25,,,,闸机车间,,
旋转货架任务状态上报,已解决,,最后一个任务未配置上报wms,2025/2/26,,,汪羽杰,,2025/2/26 16:09,,,2.1_11_A2电料仓,2025/2/28 16:37,,,10.68.2.1,,,,问题记录,,,,,,,,,,状态上报,,2025/2/26,,,,A2电料仓,,
自动触发无法使用,已解决,,4.2的配置问题，需要先配置片区域有库位状态之后再配置库位下发任务。,2025/2/26,,,汪羽杰,,2025/2/26 16:14,,,2.31_2_富阳电装工厂,2025/2/26 16:26,,,10.68.2.31,,,,问题记录,,,,,,,,,,平台,,2025/2/26,,,,富阳电装工厂,,
交接点锁格未释放,已解决,,,2025/2/27,,,汪羽杰,,2025/2/27 8:56,,,2.19_1_2_3_4_A2_A3_华消_注塑工厂_二楼_华昱欣,2025/2/27 14:29,,,10.68.2.19,,,,问题记录,,单个设备级（轻微影响）,,,,,,,Yes,"平台,tps",,2025/2/27,,,,2_3_4_A2_A3_华消_注塑工厂_二楼_华昱欣,,
4.2版本无法编辑片区域,已解决,,4.2版本问题,2025/2/27,,,汪羽杰,,2025/2/27 9:15,,,2.31_28_29_31_A2存储备料区域,2025/2/27 14:47,,,10.68.2.31,,,,问题记录,https://flowus.cn/4dcdd5e7-9301-42ce-995d-15c083e03a67,调试级（轻微或无）,,,,,,,YES,"平台,前端",,2025/2/27,,,,829_31_A2存储备料区域,,
任务下发了没有执行,未查明,,后来任务成功下发执行了，原因不明,2025/2/27,,,汪羽杰,,2025/2/27 11:11,,,2.17_1_A2备料and存储二部,2025/2/28 16:42,,,10.68.2.17,,,,问题记录,,调试级（轻微或无）,,,,,,,,平台,,2025/2/27,,,,A2备料and存储二部,,
pad端无法下发跨环境任务,定制修改中,,32 的 pad 端目前支持的是查询货架子区域，货架所在区域为父区域 宫佳林:这块现在不行 货架在父区域 我查的子区域的那这个什么时候支持下已读 佳林2月27日 15:31可以 这周末我修改代码,2025/2/27,YES,,汪羽杰,,2025/2/27 15:15,,,2.19_1_2_3_4_A2_A3_华消_注塑工厂_二楼_华昱欣,2025/2/28 8:39,,,10.68.2.19,,,,问题记录,,,,,,,,,YES,"跨环境,Pad",,2025/2/27,,,,2_3_4_A2_A3_华消_注塑工厂_二楼_华昱欣,,
货架相撞,已解决,,货架尺寸不对,2025/2/28,,,汪羽杰,,2025/2/28 11:15,,,2.14_7_智能四部,2025/2/28 16:36,,,10.68.2.14,,,,问题记录,,单个设备级（轻微影响）,,,,,,,Yes,平台,,2025/2/28,,,,智能四部,,
2.1服务器挂,已解决,/2.1%E6%9C%8D%E5%8A%A1%E5%99%A8%E6%95%B0%E6%8D%AE%E5%BA%93%E6%9C%8D%E5%8A%A1%E8%A2%AB%E6%9D%80+2d871bfa-8c6a-40b6-a820-56989b4619f9.csv,同上次,2025/3/1,,,汪羽杰,,2025/3/1 11:27,,,2.1_4_A4物流_2F,2025/3/1 11:30,,,10.68.2.1,,,,问题记录,,,,,,,,,,,,2025/3/1,,,,A4物流2F,,
AGV任务状态不是等待确认,已解决,/%E7%94%B5%E6%A2%AF117%E8%AE%BE%E5%A4%87%E6%AD%A3%E5%B8%B8%E4%BD%86%E6%98%AF116%E8%AE%BE%E5%A4%87%E6%97%A0%E6%B3%95%E4%BD%BF%E7%94%A8+da0138ce-da2f-4ced-8e0b-11c064075df1.csv,"rdms中有[Finished , Finished]上报但任务未完成。问题原因为添加设备时生成了两个设备对象，更新解决电梯问题同",2025/3/4,,,汪羽杰,,2025/3/1 13:11,,,2.32_1_A3结构备料部@举升,2025/3/5 16:58,,,10.68.2.32,,,,问题记录,,,,,,,,,YES,平台,,2025/3/1,,,,A3结构备料部@举升,,
被设备阻挡,已解决,,设备到点精度较大，导致锁格区域略大导致设备阻挡,2025/3/3,,,汪羽杰,,2025/3/3 9:07,,,2.27_1_行业备料部,2025/3/18 8:46,,,10.68.2.27,,,,问题记录,,,,,,,,,,算法,,2025/3/3,,,,行业备料部,,
空车移动任务参数配置错误,已解决,,有一台设备的设备型号没加,2025/3/3,,,汪羽杰,,2025/3/3 16:31,,,2.36_包材_行业_备料部_跨楼层配送,2025/3/10 9:43,,,10.68.2.36,,,,问题记录,,,,,,,,,,平台,,2025/3/3,,,,材行业_备料部_跨楼层配送,,
上架区堵死,已解决,,当时包含定制，如果上架机械臂已满，会上报状态 11 需要 wms 根据状态 10 和 11 判断下发回库还是去机械臂，wms 修改,2025/3/4,,,汪羽杰,,2025/3/4 10:55,,,2.10_1_PCBA 半成品仓库,2025/3/5 16:59,,,10.68.2.10,,,,问题记录,,,,,,,,,Yes,"WMS,平台",,2025/3/4,,,,PCBA 半成品仓库,,
公交车模式 wms 依次发点,,,使用公交车关联模板功能，支持 4.2,2025/3/4,,,汪羽杰,,2025/3/4 11:28,,,2.31_test,2025/3/5 17:06,,,10.68.2.31,,,,功能测试,,,,,,,,,,平台,,2025/3/4,,,,est,,
后续任务检测危险,已解决,,同阻挡,2025/3/4,,,汪羽杰,,2025/3/4 13:31,,,2.27_1_行业备料部,2025/3/18 8:47,,,10.68.2.27,,,,问题记录,,,,,,,,,,算法,,2025/3/4,,,,行业备料部,,
关机推不动,已解决,,,2025/3/4,,,汪羽杰,,2025/3/4 20:25,,,2.31_28_29_31_A2存储备料区域,2025/3/18 8:47,,,10.68.2.31,,,,问题记录,,,,,,,,,,AGV  设备,,2025/3/4,,,,829_31_A2存储备料区域,,
电梯117设备正常但是116设备无法使用,已解决,,模块已更新修复,2025/3/5,,,汪羽杰,,2025/3/5 8:53,,,2.31_24_25_26_27_电装跨电梯,2025/3/5 16:55,,,10.68.2.31,,,,问题记录,,,,,,,,,YES,,,2025/3/5,,,,425_26_27_电装跨电梯,,
初始化后action没有生成,已解决,,激光举升和二维码举升车不同，二维码举升车会生成运行区的空车移动和负载移动action，激光举升不会。修改激光举升为二维码举升。,2025/3/5,,,汪羽杰,,2025/3/5 13:36,,,2.27_1_行业备料部,2025/3/5 16:41,,,10.68.2.27,,,,问题记录,,调试级（轻微或无）,,,,,,,Yes,"平台,action",,2025/3/5,,,,行业备料部,,
呼叫器全部配置丢失,已解决,,具体原因未知,2025/3/5,,,汪羽杰,,2025/3/5 13:37,,,2.36_包材_行业_备料部_跨楼层配送,2025/3/10 9:43,,,10.68.2.36,,,,问题记录,,,,,,,,,,无法确认,,2025/3/5,,,,材行业_备料部_跨楼层配送,,
wms任务下发报错,已过期,,,2025/3/5,,,汪羽杰,,2025/3/5 13:54,,,,2025/3/18 8:48,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/3/5,,,,,,
rcs点位容量不足问题,已解决,,主要原因为设备B912 在执行任务时将该点位22000197预占，此时设备离线，但任务依然是执行中，所以该点位容量一直为被占用中状态。 解决办法： 对B912解除设备预占 算法修改配置文件DPLAUTOCHECKRCSCAPFIT=0 ；关闭rcs选点容量限制。,2025/3/6,,,汪羽杰,,2025/3/6 9:50,算法状态：RCS点位XXXXXXXX容量不足,,2.31_28_29_31_A2存储备料区域,2025/3/6 16:41,,,10.68.2.31,,,,问题记录,,单个设备级（轻微影响）,,,,,,,YES,"算法,平台",,2025/3/6,,,,829_31_A2存储备料区域,,
跨环境上报问题,已解决,,上报重试任务太多导致，重试线程堵住，主要为上报地址错误，导致报错404，修改错误上报地址。,2025/3/6,,,汪羽杰,,2025/3/6 10:21,,,2.32_1_A3结构备料部@举升,2025/3/6 11:37,,,10.68.2.32,,,,问题记录,,,,,,,,,YES,平台,,2025/3/6,,,,A3结构备料部@举升,,
找不到任务流程模板,已解决,,任务模板在数据库表 fy_bl_save_task_config 中填错导致找不到任务模板，修改后恢复,2025/3/7,,,汪羽杰,,2025/3/7 9:35,找不到任务流程模板,,2.17_1_A2备料and存储二部,2025/3/7 11:25,,,10.68.2.17,,,,问题记录,,调试级（轻微或无）,,,,,,,,平台,,2025/3/7,,,,A2备料and存储二部,,
设备不举升,已解决,,修改货架型号离的调整阈值,2025/3/7,,,汪羽杰,,2025/3/7 11:25,,,2.41_16_保税仓,2025/3/19 17:02,,,10.68.2.41,,,,问题记录,,,,,,,,,,,,2025/3/7,,,,6保税仓,,
